2026-08-13 17:48:13,126 | INFO | log_code=qwen3_3_moe.py:587 function=main | Arguments | {'model_path': 'master', 'prompt': 'Explain why the sky is blue in one sentence.', 'max_new_tokens': 4, 'device': 'auto', 'dtype': 'auto', 'temperature': 0.0, 'top_k': 0, 'seed': 42, 'trace_layers': '0,last', 'tensor_values': 6, 'router_rows': 4, 'log_top_tokens': 5, 'log_level': 'INFO', 'log_file': 'qwen3_3_moe_trace.log', 'tiny_random': False}
2026-08-13 17:48:17,827 | INFO | log_code=qwen3_3_moe.py:452 function=log_model_layout | Model | parameters=30532122624 layers=48 hidden=2048 attention_heads=32 kv_heads=4 experts=128 top_k=8
2026-08-13 17:48:17,827 | INFO | log_code=qwen3_3_moe.py:463 function=log_model_layout | Device map | {'model.embed_tokens': 0, 'model.layers.0': 'cpu', 'model.layers.1': 'cpu', 'model.layers.2': 'cpu', 'model.layers.3': 'cpu', 'model.layers.4': 'cpu', 'model.layers.5': 'cpu', 'model.layers.6': 'cpu', 'model.layers.7': 'cpu', 'model.layers.8': 'cpu', 'model.layers.9': 'cpu', 'model.layers.10': 'cpu', 'model.layers.11': 'cpu', 'model.layers.12': 'cpu', 'model.layers.13': 'cpu', 'model.layers.14': 'cpu', 'model.layers.15': 'cpu', 'model.layers.16': 'cpu', 'model.layers.17': 'cpu', 'model.layers.18': 'cpu', 'model.layers.19': 'cpu', 'model.layers.20': 'cpu', 'model.layers.21': 'cpu', 'model.layers.22': 'cpu', 'model.layers.23': 'cpu', 'model.layers.24': 'cpu', 'model.layers.25': 'cpu', 'model.layers.26': 'cpu', 'model.layers.27': 'cpu', 'model.layers.28': 'cpu', 'model.layers.29': 'cpu', 'model.layers.30': 'cpu', 'model.layers.31': 'cpu', 'model.layers.32': 'cpu', 'model.layers.33': 'cpu', 'model.layers.34': 'cpu', 'model.layers.35': 'cpu', 'model.layers.36': 'cpu', 'model.layers.37': 'cpu', 'model.layers.38': 'cpu', 'model.layers.39': 'cpu', 'model.layers.40': 'disk', 'model.layers.41': 'disk', 'model.layers.42': 'disk', 'model.layers.43': 'disk', 'model.layers.44': 'disk', 'model.layers.45': 'disk', 'model.layers.46': 'disk', 'model.layers.47': 'disk', 'model.norm': 'disk', 'model.rotary_emb': 'disk', 'lm_head': 'disk'}
2026-08-13 17:48:17,835 | INFO | log_code=qwen3_3_moe.py:234 function=install | Tracing layers: [0, 47]
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:518 function=run_generation | Prompt | 'Explain why the sky is blue in one sentence.'
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:519 function=run_generation | Prompt input_ids | [[840, 20772, 3170, 279, 12884, 374, 6303, 304, 825, 11652, 13]]
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:520 function=run_generation | Prompt tokens | ['Ex', 'plain', 'Ġwhy', 'Ġthe', 'Ġsky', 'Ġis', 'Ġblue', 'Ġin', 'Ġone', 'Ġsentence', '.']
2026-08-13 17:48:17,836 | INFO | log_code=qwen3_3_moe.py:529 function=run_generation | STEP 0 BEGIN | phase=prefill input_shape=(1, 11) attention_mask_shape=(1, 11) cache_before=0
2026-08-13 17:48:17,893 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:461 function=Qwen3MoeModel.forward | variable=embedding | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-0.242188 max=0.196289 mean=-7.49286e-05 std=0.016222 sample=[0.00762939453125, 0.030517578125, 0.0194091796875, 0.0201416015625, 0.0272216796875, 0.0341796875]
2026-08-13 17:48:18,226 | INFO | log_code=qwen3_3_moe.py:269 function=hook | model_code=modeling_qwen3_moe.py:469 function=Qwen3MoeModel.forward | variable=rope.position_ids | shape=(1, 11) dtype=torch.int64 device=cuda:0 min=0 max=10 sample=[0, 1, 2, 3, 4, 5]
2026-08-13 17:48:18,227 | INFO | log_code=qwen3_3_moe.py:274 function=hook | model_code=modeling_qwen3_moe.py:398 function=Qwen3MoeRotaryEmbedding.forward | variable=rope.cos | shape=(1, 11, 128) dtype=torch.bfloat16 device=cuda:0 min=-1 max=1 mean=0.858982 std=0.409965 sample=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2026-08-13 17:48:18,227 | INFO | log_code=qwen3_3_moe.py:279 function=hook | model_code=modeling_qwen3_moe.py:399 function=Qwen3MoeRotaryEmbedding.forward | variable=rope.sin | shape=(1, 11, 128) dtype=torch.bfloat16 device=cuda:0 min=-1 max=1 mean=0.10259 std=0.289198 sample=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026-08-13 17:48:18,254 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:342 function=Qwen3MoeDecoderLayer.forward | variable=layer[0].input_norm | shape=(1, 11, 2048) dtype=torch.bfloat16 device=cuda:0 min=-0.263672 max=0.203125 mean=-0.000108108 std=0.00876705 sample=[0.000217437744140625, 0.00121307373046875, -0.00107574462890625, -0.0008087158203125, 0.0032806396484375, 0.0027008056640625]
2026-08-13 17:48:18,330 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:164 function=Qwen3MoeAttention.forward | variable=layer[0].q_proj | shape=(1, 11, 4096) dtype=torch.bfloat16 device=cuda:0 min=-0.189453 max=0.167969 mean=-6.09839e-05 std=0.0255493 sample=[-0.01153564453125, 0.0098876953125, -0.003448486328125, -0.01470947265625, 0.007171630859375, 0.000492095947265625]
2026-08-13 17:48:18,331 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:164 function=Qwen3MoeAttention.forward | variable=layer[0].q_norm | shape=(1, 11, 32, 128) dtype=torch.bfloat16 device=cuda:0 min=-9.75 max=14.3125 mean=-0.00479534 std=1.3377 sample=[-0.43359375, 1.6640625, -0.427734375, -1.515625, 0.828125, 0.058349609375]
2026-08-13 17:48:18,339 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:165 function=Qwen3MoeAttention.forward | variable=layer[0].k_proj | shape=(1, 11, 512) dtype=torch.bfloat16 device=cuda:0 min=-0.115234 max=0.114258 mean=-0.000456307 std=0.0207305 sample=[0.00982666015625, 0.006011962890625, 0.0062255859375, 0.01141357421875, 0.00677490234375, -0.00141143798828125]
2026-08-13 17:48:18,339 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:165 function=Qwen3MoeAttention.forward | variable=layer[0].k_norm | shape=(1, 11, 4, 128) dtype=torch.bfloat16 device=cuda:0 min=-36.75 max=38.5 mean=0.0175082 std=3.2401 sample=[1.765625, 0.8671875, 0.4921875, 0.70703125, 0.455078125, -0.09716796875]
2026-08-13 17:48:18,340 | INFO | log_code=qwen3_3_moe.py:255 function=hook | model_code=modeling_qwen3_moe.py:166 function=Qwen3MoeAttention.forward | variable=layer[0].v_proj | shape=(1, 11, 512) dtype=torch.bfloat16 device=cuda:0 min=-0.0517578 max=0.0478516 mean=-7.04896e-05 std=0.00823728 sample=[-0.004425048828125, 0.00408935546875, -0.001129150390625, 0.00070953369140625, -0.000766754150390625, -0.0008697509765625]
